               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086196,             0.10707,                   0,             0.46421,             0.52987,             0.43714,             0.16616,            0.068346,            0.073602,                   0,            0.070316,           0.0032982,           0.0032982
                   1,            0.067055,            0.085309,                   0,             0.60593,             0.60038,             0.64347,             0.23897,            0.057239,             0.06988,                   0,            0.040097,           0.0064127,           0.0064127
                   2,             0.06302,            0.083858,                   0,             0.58064,             0.62879,             0.66922,             0.30144,            0.053909,            0.071658,                   0,           0.0096581,           0.0093072,           0.0093072
                   3,            0.056126,            0.078719,                   0,              0.7495,             0.78485,             0.80321,             0.40317,             0.04611,            0.067125,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.050286,             0.07891,                   0,             0.92205,             0.79978,             0.90121,             0.48571,            0.044523,            0.059864,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.046683,            0.074241,                   0,             0.90559,             0.81158,              0.9004,              0.5463,            0.042089,            0.058943,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.044917,             0.07229,                   0,             0.93325,             0.84224,             0.93257,             0.58659,            0.039349,            0.056878,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.043309,            0.071898,                   0,             0.94456,             0.83941,              0.9353,             0.59216,            0.038008,            0.055436,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.041336,            0.071633,                   0,             0.92836,             0.83936,             0.93144,             0.60669,             0.03624,            0.054373,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.041034,             0.06886,                   0,             0.93532,             0.85642,             0.94331,             0.62945,            0.034794,            0.053463,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.039885,            0.068474,                   0,             0.94077,             0.86157,              0.9399,             0.63264,            0.034601,            0.052711,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.039229,            0.067067,                   0,             0.92808,               0.859,             0.94205,             0.63862,            0.034476,            0.052639,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.038027,            0.067056,                   0,             0.93242,             0.85687,             0.93963,              0.6403,            0.033506,            0.052171,                   0,             0.00637,             0.00637,             0.00637
                  13,             0.03719,             0.06558,                   0,             0.93704,             0.86587,             0.94947,             0.66679,            0.031969,            0.050575,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.036646,            0.065424,                   0,             0.94284,             0.85587,             0.94448,             0.65791,            0.032287,            0.050722,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.036191,            0.065564,                   0,             0.93617,             0.87683,             0.95094,             0.65442,            0.032667,            0.051142,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.035306,            0.062351,                   0,             0.93823,             0.87172,             0.95171,             0.67933,            0.031263,             0.04969,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.034929,            0.063987,                   0,             0.94378,              0.8771,             0.95285,             0.68193,            0.030887,            0.049322,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.034208,            0.061681,                   0,              0.9353,             0.87884,             0.95429,             0.69036,            0.030564,            0.048984,                   0,             0.00439,             0.00439,             0.00439
                  19,             0.03424,            0.062485,                   0,             0.94561,             0.87028,              0.9557,             0.69199,            0.030533,            0.048803,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.033443,            0.060646,                   0,              0.9357,             0.87945,             0.95474,             0.69312,            0.030425,            0.048585,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.033283,            0.061059,                   0,              0.9357,             0.88471,             0.95609,             0.69801,            0.030005,            0.048045,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.032713,            0.060125,                   0,             0.94069,             0.88117,             0.95622,             0.70185,            0.029968,            0.047875,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.032635,            0.060464,                   0,             0.94673,             0.88443,             0.95756,             0.70103,              0.0299,             0.04761,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.032856,            0.060583,                   0,             0.94329,             0.88484,             0.95926,             0.70358,            0.029815,            0.047681,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.032254,            0.059156,                   0,             0.94767,              0.8827,             0.95806,             0.70557,            0.029796,            0.047305,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.032013,            0.059052,                   0,              0.9443,             0.88847,             0.95802,              0.7092,            0.029528,            0.047323,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.031615,              0.0585,                   0,             0.94359,             0.88705,             0.95824,             0.71256,             0.02929,             0.04703,                   0,             0.00142,             0.00142,             0.00142
                  28,             0.03179,              0.0579,                   0,             0.94617,             0.88907,             0.95947,             0.71475,            0.029211,            0.046646,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.031656,            0.057432,                   0,              0.9469,             0.88522,             0.96064,             0.71739,            0.029139,            0.046371,                   0,             0.00076,             0.00076,             0.00076
