               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084988,             0.10534,                   0,             0.37704,             0.52725,              0.3775,             0.14085,            0.070471,            0.071619,                   0,            0.070316,           0.0032982,           0.0032982
                   1,             0.06704,            0.081754,                   0,              0.6096,              0.6022,             0.65556,             0.25193,            0.059958,            0.064275,                   0,            0.040097,           0.0064127,           0.0064127
                   2,            0.062127,            0.080159,                   0,             0.53636,             0.74921,             0.61878,             0.28475,            0.053823,            0.068421,                   0,           0.0096581,           0.0093072,           0.0093072
                   3,            0.055482,            0.075177,                   0,             0.88883,             0.78567,              0.8815,             0.38704,            0.048738,            0.061823,                   0,             0.00901,             0.00901,             0.00901
                   4,             0.04974,            0.074824,                   0,             0.93488,             0.82049,             0.91289,             0.50452,            0.041973,            0.056834,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.045182,            0.070575,                   0,             0.87217,              0.8066,             0.88985,             0.56376,            0.041454,            0.056334,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.042759,            0.068748,                   0,             0.93079,             0.85997,             0.93306,             0.56268,            0.037965,            0.054506,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.041947,            0.068514,                   0,             0.93952,             0.86137,             0.94254,             0.60578,            0.036332,            0.053201,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.039788,            0.067886,                   0,             0.93545,             0.85718,              0.9444,             0.64254,            0.035023,            0.051864,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.039478,            0.065301,                   0,             0.93542,             0.88024,             0.95245,             0.65061,            0.033295,            0.050854,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.038384,            0.064829,                   0,             0.94107,             0.87133,             0.94589,              0.6254,            0.034294,            0.050777,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.037582,            0.063449,                   0,             0.94312,             0.88339,             0.95216,             0.66457,            0.032822,            0.050064,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.036038,            0.063301,                   0,              0.9456,             0.88369,             0.95569,             0.68219,            0.031626,            0.049204,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.036226,            0.062123,                   0,             0.94792,             0.89187,             0.95843,             0.69235,            0.030808,            0.048436,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.035471,             0.06175,                   0,               0.947,             0.89282,             0.95823,              0.6868,            0.031091,            0.048607,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.035061,            0.061993,                   0,             0.94778,             0.89439,             0.95869,             0.69911,            0.029962,            0.047337,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.034017,            0.058611,                   0,             0.94552,             0.89675,             0.96136,             0.69691,             0.03044,            0.047653,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.033732,            0.060148,                   0,             0.94935,             0.89623,             0.96209,             0.71046,            0.029579,            0.046565,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.033084,            0.058026,                   0,             0.95135,              0.8967,             0.96328,             0.71698,            0.029411,            0.045929,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.032682,            0.058301,                   0,               0.942,             0.89465,             0.96211,             0.71615,            0.029288,            0.045977,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.031687,            0.056305,                   0,             0.95561,              0.8969,             0.96484,             0.72036,            0.028885,            0.045763,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.031289,             0.05636,                   0,             0.95648,             0.89848,             0.96482,             0.72677,            0.028283,            0.045064,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.030748,            0.055495,                   0,              0.9556,             0.90173,             0.96489,              0.7328,            0.028052,            0.044837,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.030322,            0.055212,                   0,             0.95587,             0.90121,             0.96581,             0.73453,            0.028029,            0.044803,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.030612,             0.05528,                   0,             0.95393,             0.90933,             0.96677,             0.73821,            0.027739,            0.044482,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.029937,            0.053818,                   0,             0.95778,             0.90354,             0.96778,              0.7395,            0.027718,            0.043974,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.029629,            0.053775,                   0,             0.95203,             0.90645,             0.96646,             0.74333,            0.027494,            0.044172,                   0,             0.00175,             0.00175,             0.00175
                  27,              0.0292,            0.053051,                   0,             0.95575,             0.91117,             0.96819,             0.74689,            0.027307,            0.043921,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.029268,            0.052407,                   0,              0.9565,             0.91169,             0.96829,             0.75151,            0.027112,            0.043305,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.029151,            0.051924,                   0,              0.9589,             0.91091,             0.96847,             0.75337,            0.026962,            0.042855,                   0,             0.00076,             0.00076,             0.00076
