               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094696,            0.095997,                   0,             0.32764,             0.57049,             0.32774,             0.10844,            0.068074,            0.073121,                   0,            0.070316,           0.0032982,           0.0032982
                   1,             0.07118,            0.084063,                   0,             0.65418,             0.61583,               0.682,             0.31747,            0.056889,            0.066821,                   0,            0.040184,           0.0065003,           0.0065003
                   2,            0.065383,            0.083701,                   0,             0.50833,             0.68031,             0.58979,             0.22121,            0.056495,            0.067596,                   0,           0.0099212,           0.0095703,           0.0095703
                   3,            0.059935,            0.079287,                   0,             0.61141,             0.71253,             0.62133,             0.24986,            0.053831,            0.064026,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.052586,            0.080605,                   0,             0.92186,              0.7804,             0.88033,             0.41149,            0.046326,            0.062466,                   0,            0.009406,            0.009406,            0.009406
                   0,            0.094849,            0.096011,                   0,             0.56586,             0.57835,             0.55748,             0.20288,             0.06768,            0.071967,                   0,            0.070316,           0.0032982,           0.0032982
                   1,            0.070287,            0.084425,                   0,             0.52865,             0.58229,             0.59124,             0.25003,            0.057445,            0.068379,                   0,            0.040097,           0.0064127,           0.0064127
                   2,            0.065988,              0.0832,                   0,              0.4946,             0.60456,             0.56714,             0.24348,            0.062682,            0.074212,                   0,           0.0096581,           0.0093072,           0.0093072
                   3,            0.058976,            0.079519,                   0,             0.82089,             0.75186,             0.83382,             0.40607,            0.050593,            0.063633,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.052411,            0.080401,                   0,             0.92799,              0.7935,             0.89221,              0.4792,            0.044803,            0.061499,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.049447,            0.075616,                   0,             0.90958,              0.7652,             0.88008,             0.46572,            0.043899,            0.062134,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.046671,            0.073724,                   0,             0.92766,             0.81324,             0.91119,             0.50186,            0.040678,            0.057842,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.045078,            0.073698,                   0,             0.94145,             0.81321,             0.91714,             0.56444,            0.038537,            0.056387,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.043093,            0.073207,                   0,             0.93866,             0.81447,             0.91755,             0.56972,            0.037721,            0.056211,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.042876,            0.071196,                   0,             0.94175,             0.82192,             0.92188,             0.58725,            0.036298,            0.055065,                   0,             0.00736,             0.00736,             0.00736
